id,chinese,pinyin,english,priority,quality,word1,word1_english,word2,word2_english,word3,word3_english,word4,word4_english,sentence,sentence_pinyin,sentence_english
3318,身份验证,shēn fèn yàn zhèng,identity verification,5,,,,,,,,,,登录需要身份验证,dēng lù xū yào shēn fèn yàn zhèng,Login requires identity verification
3319,声母,shēng mǔ,initial consonant,5,4,声音,voice,母,mother,,,,,汉语拼音有声母和韵母。,Hànyǔ pīnyīn yǒu shēngmǔ hé yùnmǔ.,Chinese pinyin has initials and finals.
3320,升温,shēng wēn,warm up,5,4,上升,rise,温度,temperature,,,,,气氛逐渐升温。,qì fēn zhú jiàn shēng wēn,The atmosphere is heating up.
3321,十八线城市,shí bā xiàn chéng shì,tier-18 city,5,4,十八,eighteen,线,line,城市,city,,,他来自一个十八线城市。,tā lái zì yí gè shí bā xiàn chéng shì。,He comes from a very small city.
3322,识别,shì bié,to distinguish;discern,5,2,认识,to know,别,separate,,,,,软件可以识别文字,ruǎn jiàn kě yǐ shí bié wén zì,the software can recognize text
3323,试管,shì guǎn,test tube;IVF,5,2,试,test,管,pipe,,,,,医生把样本放进试管,Yīshēng bǎ yàngběn fàng jìn shìguǎn,The doctor put the sample into a test tube
3324,实习生,shí xí shēng,intern,5,2,实,real,练习,to practice,学生,student,,,公司这周来了三个新的实习生。,gōng sī zhè zhōu lái le sān gè xīn de shí xí shēng.,Three new interns joined the company this week.
3325,事先,shì xiān,in advance;beforehand,5,3,事,matter,先,first,,,,,请事先通知我,Qǐng shìxiān tōngzhī wǒ,Please inform me in advance
3326,始终,shǐ zhōng,all along;throughout;always,5,2,开始,beginning,终于,finally,,,,,他始终相信自己的选择,Tā shǐzhōng xiāngxìn zìjǐ de xuǎnzé,He always believed in his choice
3327,受苦,shòu kǔ,to suffer,5,2,受,to receive,痛苦,pain,,,,,他在战争中受苦,tā zài zhàn zhēng zhōng shòu kǔ,he suffered in the war
3328,守门员,shǒu mén yuán,goalkeeper,5,1,防守,defend,门,gate,员,member,,,他小时候一直当足球队的守门员。,tā xiǎo shí hou yì zhí dāng zú qiú duì de shǒu mén yuán.,He was the goalkeeper on his soccer team as a child.
3329,收起来,shōu qǐ lái,put away,5,3,收,to receive,起来,the beginning and continuation of an action,,,,,把玩具收起来,bǎ wánjù shōu qǐlái,put the toys away
3330,收音机,shōu yīn jī,radio,5,1,收,receive,音乐,voice,机,machine,,,爷爷喜欢用收音机听新闻,yé ye xǐ huān yòng shōu yīn jī tīng xīn wén,grandpa likes listening to news on the radio
3331,赎回,shú huí,redeem;redemption,5,,-,,,,,,,,投资者开始赎回基金。,tóu zī zhě kāi shǐ shú huí jī jīn。,Investors began redeeming funds.
3332,暑假,shǔ jià,summer vacation,5,,,,,,,,,,我们放暑假了,wǒ men fàng shǔ jià le,we are on summer vacation
3333,数据集,shù jù jí,dataset,5,4,数据,data,集,a set;collection,,,,,我们下载了新的数据集,Wǒmen xiàzǎi le xīn de shùjù jí,We downloaded a new dataset
3334,数据清洗,shù jù qīng xǐ,data cleaning,5,,,,,,,,,,在分析前必须进行数据清洗,zài fēn xī qián bì xū jìn xíng shù jù qīng xǐ,data cleaning must be done before analysis
3335,熟人,shú rén,acquaintance,5,2,眼熟,familiar looking,人,person,,,,,这里我没有熟人,zhèlǐ wǒ méiyǒu shúrén,I do not know anyone here
3336,耍酷,shuǎ kù,Playing cool,5,,,,,,,,,,他喜欢在同学面前耍酷,tā xǐ huān zài tóng xué miàn qián shuǎ kù,he likes to act cool in front of classmates
3337,双重标准,shuāng chóng biāo zhǔn,double standards,5,3,双重,double,标准,standard,,,,,他被指责有双重标准,Tā bèi zhǐzé yǒu shuāngchóng biāozhǔn,He is accused of having double standards
3338,双重验证,shuāng chóng yàn zhèng,two factor authentication,5,,,,,,,,,,请启用双重验证来保护账户,qǐng qǐ yòng shuāng chóng yàn zhèng lái bǎo hù zhàng hù,please enable two factor authentication to protect your account
3339,双十二,shuāng shí èr,Double 12 shopping festival,5,,,,,,,,,,双十二也有很多折扣,shuāng shí èr yě yǒu hěn duō zhé kòu,there are also many discounts on double twelve
3340,双性恋,shuāng xìng liàn,bisexual,5,2,双,pair,性别,gender,恋爱,love,,,她公开说自己是双性恋,tā gōngkāi shuō zìjǐ shì shuāng xìng liàn,She publicly said she is bisexual
3341,水坑,shuǐ kēng,puddle,5,2,水,water,坑,pit,,,,,雨后路上有很多水坑,Yǔ hòu lù shàng yǒu hěn duō shuǐkēng,There are many puddles on the road after the rain
3342,说唱,shuō chàng,rap,5,2,说,speak,唱,sing,,,,,他说唱唱得很好,tā shuō chàng chàng de hěn hǎo,he raps very well
3343,硕士,shuò shì,master's degree,5,,,,,,,,,,他正在国外读硕士,tā zhèng zài guó wài dú shuò shì,He is studying for a master’s degree abroad
3344,斯科特,sī kē tè,Scott,5,,,,,,,,,,斯科特正在学习中文,Sīkētè zhèngzài xuéxí Zhōngwén,Scott is learning Chinese
3345,松手,sōng shǒu,to let go,5,2,放松,to loosen,手,hand,,,,,请松手,qǐng sōng shǒu,please let go
3346,苏联,sū lián,Soviet Union,5,4,江苏,"""su"" phonetic",联盟,alliance,,,,,苏联已经解体了。,sū lián yǐ jīng jiě tǐ le,The Soviet Union has already dissolved.
3347,孙中山,sūn zhōng shān,Sun Yat-sen,5,3,孙子,grandson,中,middle,山,mountain,,,孙中山是中国历史上的重要人物。,sūn zhōng shān shì zhōng guó lì shǐ shàng de zhòng yào rén wù.,Sun Yat-sen is an important figure in Chinese history.
3348,碳排放,tàn pái fàng,carbon emission,5,4,碳素,carbon,排放,emission,,,,,减少碳排放是全球的共同目标,jiǎn shǎo tàn pái fàng shì quán qiú de gòng tóng mù biāo,Reducing carbon emissions is a global goal
3349,堂弟,táng dì,younger male cousin (father's brother's child),5,3,堂,hall,弟弟,younger brother,,,,,堂弟很喜欢篮球,táng dì hěn xǐ huan lán qiú,My younger male cousin loves basketball
3350,堂姐,táng jiě,older female cousin (father's brother's child),5,3,堂,hall,姐姐,older sister,,,,,堂姐在北京工作,táng jiě zài běi jīng gōng zuò,My older female cousin works in Beijing
3351,堂妹,táng mèi,younger female cousin (father's brother's child),5,3,堂,hall,妹妹,younger sister,,,,,堂妹很活泼开朗,táng mèi hěn huó pō kāi lǎng,My younger female cousin is cheerful
3352,特例,tè lì,special case;exception,5,4,特,special,例子,example,,,,,这只是一个特例,zhè zhǐ shì yī gè tè lì,this is just a special case
3353,特斯拉,tè sī lā,Tesla,5,,,,,,,,,,他买了一辆特斯拉,tā mǎi le yī liàng tè sī lā,he bought a tesla
3354,疼爱,téng 'ài,to love dearly,5,2,疼,ache,爱,love,,,,,父母很疼爱孩子,fù mǔ hěn téng ài hái zi,parents love their children dearly
3355,体检,tǐ jiǎn,physical examination,5,3,体,body,检查,examination,,,,,我明天要去医院做体检,wǒ míng tiān yào qù yī yuàn zuò tǐ jiǎn,i will go to the hospital for a physical exam tomorrow
3356,体温计,tǐ wēn jì,(body) thermometer,5,2,身体,body,温度,temperature,计算,to calculate,,,他用体温计量体温。,tā yòng tǐ wēn jì liáng tǐ wēn.,he measured his temperature with a thermometer.
3357,天鹅,tiān 'é,swan,5,1,天,sky,鹅,goose,,,,,湖里有几只白天鹅,hú lǐ yǒu jǐ zhī bái tiān é,there are several white swans in the lake
3358,甜点,tián diǎn,dessert,5,2,甜,sweet,点,point,,,,,我最爱巧克力甜点,wǒ zuì ài qiǎo kè lì tián diǎn,i love chocolate desserts
3359,填空,tián kòng,fill in the blank,5,4,填写,fill in,空,empty,,,,,请根据课文内容填空。,qǐng gēn jù kè wén nèi róng tián kòng.,Please fill in the blanks according to the text.
3360,天幕,tiān mù,canopy tent,5,3,天空,sky,屏幕,screen,,,,,露营时我们搭了一个天幕。,lù yíng shí wǒ men dā le yí gè tiān mù.,We set up a canopy while camping.
3361,甜品店,tián pǐn diàn,Dessert Shop,5,,,,,,,,,,我们去甜品店吃蛋糕吧,wǒ men qù tián pǐn diàn chī dàn gāo ba,let's go to the dessert shop to eat cake
3362,天然,tiān rán,natural,5,2,天,today,当然,of course,,,,,这些矿泉水是天然的,zhè xiē kuàng quán shuǐ shì tiān rán de,this mineral water is natural
3363,天台,tiān tái,rooftop,5,4,天空,sky,台,platform,,,,,我们在天台聊天。,wǒ men zài tiān tái liáo tiān。,We chatted on the rooftop.
3364,天文,tiān wén,astronomy,5,1,天,sky,文,arts,,,,,我喜欢天文,Wǒ xǐhuān tiānwén,I like astronomy
3365,跳槽,tiào cáo,job hopping,5,4,跳,jump,槽,trough,,,,,他决定明年跳槽,tā jué dìng míng nián tiào cáo,he decided to change jobs next year
3366,停车标志,tíng chē biāo zhì,stop sign;parking sign,5,3,停,stop,车,vehicle,标志,sign,,,请注意路边的停车标志。,qǐng zhù yì lù biān de tíng chē biāo zhì.,please pay attention to stop signs.
3367,通风,tōng fēng,to ventilate,5,2,通,pass through,风,wind,,,,,房间要经常通风,fángjiān yào jīngcháng tōngfēng,the room needs to be ventilated often
3368,头皮屑,tóu pí xiè,dandruff,5,1,头,head,皮,skin,面包屑,breadcrumbs,,,他经常有很多头皮屑,tā jīngcháng yǒu hěn duō tóupíxiè,He often has a lot of dandruff
3369,偷笑,tōu xiào,chuckle;snicker,5,1,偷偷,secretly,笑,laugh,,,,,她在一旁偷偷地偷笑。,tā zài yì páng tōu tōu de tōu xiào.,she snickered quietly to the side.
3370,投影仪,tóu yǐng yí,projector,5,2,投掷,to cast;hurl;throw,电影,movie,仪器,instrument;apparatus,,,教室里有一个投影仪。,jiào shì lǐ yǒu yī gè tóu yǐng yí.,There is a projector in the classroom.
3371,涂鸦,tú yā,graffiti,5,2,涂,to smear,鸦,crow,,,,,墙上有很多涂鸦,qiáng shàng yǒu hěn duō tú yā,there is a lot of graffiti on the wall
3372,推广,tuī guǎng,promotion;to spread,5,3,推,push,广告,to advertise,,,,,公司正在推广新产品,gōng sī zhèng zài tuī guǎng xīn chǎn pǐn,the company is promoting a new product
3373,托儿所,tuō ér suǒ,childcare center;nursery,5,2,委托,entrust,儿童,child,场所,place,,,孩子被送到托儿所。,hái zi bèi sòng dào tuō ér suǒ。,The child was sent to nursery.
3374,瓦里奥,wǎ lǐ ào,Wario,5,,,,,,,,,,瓦里奥抢走了别人的星星,wǎ lǐ ào qiǎng zǒu le bié rén de xīng xīng,Wario stole someone else’s star
3375,瓦路易吉,wǎ lù yì jí,Waluigi,5,,,,,,,,,,瓦路易吉赢得了小游戏,wǎ lù yì jí yíng dé le xiǎo yóu xì,Waluigi won the mini game
3376,崴脚,wǎi jiǎo,to sprain one's ankle,5,4,崴,sprain,脚,foot,,,,,我下楼梯的时候不小心崴脚了。,wǒ xià lóu tī de shí hou bù xiǎo xīn wǎi jiǎo le.,I accidentally sprained my ankle while going down the stairs.
3377,王八蛋,wáng bā dàn,bastard;jerk,5,4,王,king,八,eight,蛋,egg,,,别叫别人王八蛋。,bié jiào bié rén wáng bā dàn.,Don't call people bastards.
3378,未婚,wèi hūn,unmarried,5,3,未,not yet,婚,marriage,,,,,她还未婚,tā hái wèi hūn,she is still unmarried
3379,卫洗丽,wèi xǐ lì,bidet,5,2,卫生,hygiene,洗,to wash,美丽,beauty,,,动物园厕所装了卫洗丽方便游客看熊猫时使用,dòngwùyuán cèsuǒ zhuāng le wèixǐlì fāngbiàn yóukè kàn xióngmāo shí shǐyòng,The zoo restroom installed a bidet so visitors could use it while seeing pandas
3380,文档,wén dàng,document,5,5,文件,document,档案,file,,,,,我把所有资料整理到了一个文档里。,wǒ bǎ suǒ yǒu zī liào zhěng lǐ dào le yí ge wén dàng lǐ.,I organized all the materials into one document.
3381,问号,wèn hào,question mark,5,2,问,ask,号,mark,,,,,他脸上写满了问号,tā liǎn shàng xiě mǎn le wènhào,his face was full of confusion
3382,文具,wén jù,stationary,5,1,文,writing,具,tool,,,,,我买了新的文具,wǒ mǎi le xīn de wén jù,i bought new stationery
3383,屋里,wū li,indoor,5,4,屋,room,里,inside,,,,,屋里很暖和,wū lǐ hěn nuǎnhuo,it is warm inside the room
3384,误判,wù pàn,misjudge,5,3,错误,error,判断,judge,,,,,裁判承认出现误判。,cái pàn chéng rèn chū xiàn wù pàn。,The referee admitted a misjudgment.
3385,戏法,xì fǎ,magic trick,5,3,游戏,game,法律,law,,,,,魔术师表演了一个戏法。,mó shù shī biǎo yǎn le yí gè xì fǎ,The magician performed a magic trick.
3386,喜好,xǐ hào,preference,5,3,喜欢,to like,法,good,,,,,每个人都有不同的喜好,Měi gèrén dōu yǒu bùtóng de xǐhào,Everyone has different preferences
3387,细菌感染,xì jūn gǎn rǎn,bacterial infection,5,4,细菌,bacteria,感染,infection,,,,,医生说这是细菌感染引起的。,yīshēng shuō zhè shì xìjūn gǎnrǎn yǐnqǐ de,The doctor said it was caused by a bacterial infection.
3388,喜乐,xǐ lè,joy,5,3,喜欢,to like,快乐,happy,,,,,愿你每天都充满喜乐,Yuàn nǐ měitiān dōu chōngmǎn xǐlè,May you be filled with joy every day
3389,洗漱用品,xǐ shù yòng pǐn,toiletries,5,2,洗,wash,漱,gargle,用品,supplies,,,酒店提供洗漱用品,jiǔ diàn tí gōng xǐ shù yòng pǐn,the hotel provides toiletries
3390,瑕疵,xiá cī,flaw;defect;blemish,5,,-,,,,,,,,这件商品有一点瑕疵。,zhè jiàn shāng pǐn yǒu yì diǎn xiá cī.,This product has a small flaw.
3391,先进,xiān jìn,advanced (technology);to advance,5,2,先,first,进入,to enter,,,,,他们采用了先进的技术,tāmen cǎiyòng le xiānjìn de jìshù,they adopted advanced technology
3392,线条小狗,xiàn tiáo xiǎo gǒu,Line Friends dog character,5,4,线条,line,小狗,puppy,,,,,这个表情包是线条小狗。,zhè gè biǎoqíngbāo shì xiàntiáo xiǎogǒu,This sticker is the Line dog character.
3393,线下认识,xiàn xià rèn shí,meet in real life,5,,,,,,,,,,我们线下认识了朋友,Wǒmen xiànxià rènshi le péngyǒu,We met friends offline
3394,闲鱼,xián yú,Chinese eBay,5,4,空闲,idle,鱼,fish,,,,,他在闲鱼上卖掉了旧耳机,tā zài xiányú shàng màidiào le jiù ěrjī,He sold his old headphones on Xianyu
3395,橡皮,xiàng pí,eraser,5,3,橡胶,rubber,皮,skin,,,,,橡皮可以擦掉错误。,xiàng pí kě yǐ cā diào cuò wù.,erasers remove mistakes.
3396,小库巴,xiǎo kù bā,Bowser Jr,5,,,,,,,,,,小库巴帮助了库巴,xiǎo kù bā bāng zhù le kù bā,Bowser Jr helped Bowser
3397,小气鬼,xiǎo qì guǐ,cheapskate,5,1,小,small,生气,angry,鬼,ghost,,,他是个小气鬼,tā shì gè xiǎo qì guǐ,he is a cheapskate
3398,小游戏,xiǎo yóu xì,mini game,5,,,,,,,,,,每回合结束后有一个小游戏,měi huí hé jié shù hòu yǒu yī gè xiǎo yóu xì,a mini game appears after each turn
3399,小资,xiǎo zī,bougie,5,2,小,small,资本,capital,,,,,这家咖啡馆很有小资情调。,zhè jiā kā fēi guǎn hěn yǒu xiǎo zī qíng diào.,this café has a very urban chic vibe.
3400,鞋垫,xié diàn,insole,5,1,鞋,shoe,垫子,mat,,,,,新鞋里最好放上鞋垫,xīn xié lǐ zuìhǎo fàng shàng xiédiàn,It is best to put insoles in new shoes
3401,心电图,xīn diàn tú,electrocardiogram;ECG,5,1,心,heart,电,electricity,图,diagram,,,医生让我做心电图,yī shēng ràng wǒ zuò xīn diàn tú,the doctor asked me to take an ECG
3402,新冠,xīn guàn,COVID-19,5,4,新,new,王冠,crown,,,,,新冠病毒改变了全世界,xīn guàn bìng dú gǎi biàn le quán shì jiè,COVID-19 changed the whole world
3403,心流,xīn liú,flow state,5,4,心情,mood,流动,flow,,,,,写代码的时候，我很容易进入心流状态。,"xiě dài mǎ de shí hou, wǒ hěn róng yì jìn rù xīn liú zhuàng tài.",I easily enter a flow state when I'm coding.
3404,新泽西,xīn zé xī,New Jersey,5,,,,,,,,,,他父母住在新泽西,Tā fùmǔ zhù zài Xīnzéxī,His parents live in New Jersey
3405,行房,xíng fáng,have intercourse,5,4,行,to walk,房间,room,,,,,古代常用行房来指夫妻生活,gǔdài cháng yòng xíngfáng lái zhǐ fūqī shēnghuó,in ancient times the word xingfang was used to describe marital relations
3406,幸亏,xìng kuī,fortunately,5,4,幸运,fortunate,多亏,thanks to,,,,,幸亏你提醒我了。,xìng kuī nǐ tí xǐng wǒ le.,Fortunately you reminded me.
3407,星链,xīng liàn,Starlink,5,3,星星,star,链接,link (website),,,,,他家用的是星链网络。,tā jiā yòng de shì xīng liàn wǎng luò。,His home uses Starlink internet.
3408,星球大战,xīng qiú dà zhàn,Star Wars,5,4,星球,celestial body,大战,war,,,,,星球大战拥有庞大的粉丝群。,xīng qiú dà zhàn yōng yǒu páng dà de fěn sī qún.,star wars has a huge fan base.
3409,需求,xū qiú,needs,5,2,需要,to need,要求,requirement,,,,,市场需求很大,shì chǎng xū qiú hěn dà,the market demand is large
3410,虚伪,xū wěi,hypocritical,5,,,,,,,,,,我不喜欢虚伪的人,wǒ bù xǐ huān xū wěi de rén,I do not like hypocritical people
3411,宣泄,xuān xiè,to vent; release emotions,5,4,宣传,publicize,泄漏,leak,,,,,运动是他宣泄压力的一种方式。,yùn dòng shì tā xuān xiè yā lì de yì zhǒng fāng shì.,Exercise is one way he releases stress.
3412,研发,yán fā,come up with;R&D,5,3,研究,research,开发,develop,,,,,公司投入很多资金用于研发。,gōng sī tóu rù hěn duō zī jīn yòng yú yán fā。,The company invests a lot in R&D.
3413,厌烦,yàn fán,to be sick of,5,2,讨厌,to hate,麻烦,to bother,,,,,我对这种事很厌烦,wǒ duì zhè zhòng shì hěn yànfán,I am tired of this kind of thing
3414,谚语,yàn yǔ,proverb,5,,,,,,,,,,这是一句古老的谚语,zhè shì yī jù gǔ lǎo de yàn yǔ,this is an old proverb
3415,养生,yǎng shēng,health preservation,5,3,营养,nutrition,生活,life,,,,,现在年轻人也开始讲究养生了,xiàn zài nián qīng rén yě kāi shǐ jiǎng jiù yǎng shēng le,Even young people now care about health preservation
3416,液体,yè tǐ,liquid (state),5,4,液,liquid,体,body,,,,,水是一种常见的液体,shuǐ shì yī zhǒng chángjiàn de yètǐ,water is a common liquid
3417,业余时间,yè yú shí jiān,spare time,5,2,业余,amateur,时间,time,,,,,我业余时间学习英语,wǒ yè yú shí jiān xué xí yīng yǔ,i study English in my spare time
3418,仪表盘,yí biǎo pán,dashboard,5,2,仪表,meter,盘,plate,,,,,驾驶员看着仪表盘,jià shǐ yuán kàn zhe yí biǎo pán,The driver looked at the dashboard
3419,遗传,yí chuán,heredity,5,3,遗产,heritage,传,to pass on,,,,,这个病可能会遗传,zhège bìng kěnéng huì yíchuán,this disease may be hereditary
3420,一对三,yī duì sān,1 versus 3 game,5,,,,,,,,,,这个小游戏是一对三,zhè gè xiǎo yóu xì shì yī duì sān,this mini game is 1 versus 3
3421,伊朗,yī lǎng,Iran,5,,,,,,,,,,他计划去伊朗旅行,tā jì huà qù yī lǎng lǚ xíng,he plans to travel to iran
3422,依偎,yī wēi,snuggle,5,,,,,,,,,,她依偎在他的怀里,tā yī wēi zài tā de huái lǐ,she snuggled in his arms
3423,一战,yī zhàn,World War I,5,2,一,one,战,war,,,,,我们学习了一战,Wǒmen xuéxí le yī zhàn,We studied World War I
3424,阴凉,yīn liáng,shady and cool,5,4,阴天,cloudy,凉快,cool,,,,,我们去阴凉的地方休息。,wǒ men qù yīn liáng de dì fang xiū xi。,Let's rest somewhere shady and cool.
3425,樱花,yīng huā,cherry blossom,5,4,樱桃,cherry,花,flower,,,,,樱花季吸引很多游客。,yīng huā jì xī yǐn hěn duō yóu kè.,cherry blossom season attracts many tourists.
3426,应聘者,yìng pìn zhě,(job) applicant,5,3,应聘,to apply,者,one who,,,,,公司面试了很多应聘者,gōngsī miànshì le hěnduō yìngpìnzhě,the company interviewed many applicants
3427,营销,yíng xiāo,marketing,5,3,经营,to run (business),销售,to sell,,,,,这家公司营销做得很好。,zhè jiā gōngsī yíng xiāo zuò de hěn hǎo.,This company does great marketing.
3428,有机的食物,yǒu jī de shí wù,organic food,5,4,有,to have,机,machine,的,of,食物,food,越来越多人选择有机的食物。,yuèláiyuè duō rén xuǎnzé yǒujī de shíwù,More people are choosing organic food.
3429,油烟,yóu yān,cooking fumes,5,2,油,oil,烟,smoke,,,,,厨房油烟很重。,chú fáng yóu yān hěn zhòng,The kitchen has heavy fumes.
3430,有意义,yǒu yì yì,meaningful,5,,,,,,,,,,这次经历对我来说很有意义,zhè cì jīnglì duì wǒ lái shuō hěn yǒu yìyì,This experience was very meaningful to me
3431,优越感,yōu yuè gǎn,sense of superiority,5,4,优秀,excellent,越来越,more and more,感觉,feeling,,,有些人总有优越感。,Yǒuxiē rén zǒng yǒu yōuyuègǎn.,Some people always have a sense of superiority.
3432,油炸圈饼,yóu zhá quān bǐng,donut;doughnut,5,2,油,oil,炸,fry,圈,circle,饼,cake,早餐我买了油炸圈饼,zǎo cān wǒ mǎi le yóu zhá quān bǐng,I bought donuts for breakfast
3433,鱼网,yú wǎng,fishing net,5,4,鱼,fish,网,net,,,,,渔民用鱼网捕鱼。,yú mín yòng yú wǎng bǔ yú.,fishermen catch fish with nets.
3434,元旦节,yuán dàn jié,New Year's Day,5,,,,,,,,,,我们一起庆祝元旦节,wǒ men yī qǐ qìng zhù yuán dàn jié,we celebrate new years day together
3435,圆形,yuán xíng,round shape,5,,,,,,,,,,桌子是圆形的,zhuō zi shì yuán xíng de,the table is round
3436,晕船,yùn chuán,seasick,5,2,头晕,dizzy,船,boat,,,,,我一坐船就晕船,wǒ yī zuò chuán jiù yūn chuán,i get seasick whenever i take a boat
3437,晕机,yùn jī,airsickness,5,2,头晕,dizzy,飞机,airplane,,,,,我飞行时会晕机,wǒ fēi xíng shí huì yūn jī,i get airsick when flying
3438,韵母,yùn mǔ,final vowel,5,4,押韵,rhyme,母,mother,,,,,先学好韵母再练发音。,Xiān xuéhǎo yùnmǔ zài liàn fāyīn.,Learn the finals first then practice pronunciation.
3439,运营,yùn yíng,operations; to operate,5,4,运动,to move,经营,to do business;run,,,,,他负责公司的运营。,tā fù zé gōng sī de yùn yíng。,He is responsible for the company's operations.
3440,债券,zhài quàn,bond,5,2,债务,debt,证券,certificate,,,,,他投资了政府债券。,tā tóu zī le zhèng fǔ zhài quàn。,He invested in government bonds.
3441,兆瓦,zhào wǎ,megawatt,5,3,兆,trillion,瓦,watt,,,,,这座电站的发电能力达到五百兆瓦。,zhè zuò diàn zhàn de fā diàn néng lì dá dào wǔ bǎi zhào wǎ.,The power plant has a generating capacity of 500 megawatts.
3442,折叠自行车,zhé dié zì xíng chē,folding bicycle,5,3,折叠,fold,自行车,bicycle,,,,,折叠自行车方便带上地铁。,zhé dié zì xíng chē fāng biàn dài shàng dì tiě.,A folding bike is convenient to take on the subway.
3443,正态分布,zhèng tài fēn bù,normal distribution,5,,,,,,,,,,人的身高大多符合正态分布,rén de shēn gāo dà duō fú hé zhèng tài fēn bù,human height mostly follows a normal distribution
3444,正弦波,zhèng xián bō,sine wave,5,2,正,straight;correct,弦,string,波,wave,,,这条曲线是正弦波,Zhè tiáo qūxiàn shì zhèngxián bō,This curve is a sine wave
3445,挣扎,zhēng zhá,to struggle,5,,,,,,,,,,他在水里拼命挣扎,Tā zài shuǐ lǐ pīnmìng zhēngzhá,He struggled desperately in the water
3446,政治正确,zhèng zhì zhèng què,political correctness,5,,,,,,,,,,他说话非常注意政治正确,tā shuōhuà fēicháng zhùyì zhèngzhì zhèngquè,He is very careful to be politically correct when speaking
3447,芝麻信用,zhī ma xìn yòng,Sesame Credit,5,4,芝麻,sesame,信用,credit,,,,,芝麻信用分数提高了。,zhī ma xìn yòng fēn shù tí gāo le.,My Sesame Credit score increased.
3448,指南针,zhǐ nán zhēn,compass,5,1,指,finger,南,south,针,needle,,,指南针指向北方,zhǐ nán zhēn zhǐ xiàng běi fāng,the compass points north
3449,直梯,zhí tī,elevator,5,2,直,straight,梯子,ladder,,,,,我们乘直梯上楼,wǒmen chéng zhítī shàng lóu,We took the elevator upstairs
3450,智障,zhì zhàng,mental disability;retard,5,2,智慧,wisdom,障碍,obstacle,,,,,他的话让人觉得有点智障,Tā de huà ràng rén juéde yǒudiǎn zhìzhàng,What he said sounded a bit foolish
3451,钟点房,zhōng diǎn fáng,hourly hotel,5,4,钟,clock,点,point,房间,room,,,他们订了钟点房休息。,tā men dìng le zhōng diǎn fáng xiū xí。,They booked an hourly room.
3452,重口味,zhòng kǒu wèi,strong flavor;too much,5,,,,,,,,,,他吃东西比较重口味,Tā chī dōngxi bǐjiào zhòng kǒuwèi,He likes strong flavors
3453,中年油腻大叔,zhōng nián yóu nì dà shū,middle-aged greasy uncle,5,,,,,,,,,,那个中年油腻大叔很吵,Nàgè zhōngnián yóunì dàshū hěn chǎo,That middle aged greasy man is noisy
3454,中通,zhōng tōng,ZTO Express,5,4,中,middle,通过,pass through,,,,,中通的速度还可以。,zhōng tōng de sù dù hái kě yǐ。,ZTO is fairly fast.
3455,中位数,zhōng wèi shù,median,5,1,中,middle,位,position,数,number,,,工资的中位数比均值更能代表水平,gōng zī de zhōng wèi shù bǐ jūn zhí gèng néng dài biǎo shuǐ píng,the median salary represents the level better than the mean
3456,众议院,zhòng yì yuàn,House of Representatives,5,2,观众,audience,会议,meeting,法院,court,,,法案已在众议院通过。,fǎ àn yǐ zài zhòng yì yuàn tōng guò。,The bill passed the House.
3457,中央电视台,Zhōngyāng diànshìtái,CCTV;Chinese central tv,5,,,,,,,,,,新闻在中央电视台播出。,xīnwén zài zhōngyāng diànshìtái bōchū.,The news was broadcast on CCTV.
3458,皱皱的,zhòu zhòu de,wrinkled,5,,-,,,,,,,,这件衬衫有点皱皱的。,zhè jiàn chèn shān yǒu diǎn zhòu zhòu de.,This shirt looks a bit wrinkled.
3459,主角,zhǔ jué,protagonist,5,1,主要,main,角色,role,,,,,她是这部剧的主角。,tā shì zhè bù jù de zhǔ jué。,She is the protagonist of the show.
3460,主题公园,zhǔ tí gōng yuán,theme park,5,4,主题,theme,公园,park,,,,,这个主题公园周末人特别多。,zhè ge zhǔ tí gōng yuán zhōu mò rén tè bié duō.,This theme park is especially crowded on weekends.
3461,主语,zhǔ yǔ,subject (part of speech),5,1,主,master,语,language,,,,,句子的主语是“我”,jù zi de zhǔ yǔ shì wǒ,the subject of the sentence is “I”
3462,抓痒,zhuā yǎng,scratch an itch,5,4,抓,grab;scratch,痒,itch,,,,,蚊子咬了他不停地抓痒。,wénzi yǎo le tā bùtíng de zhuā yǎng,He kept scratching because of mosquito bites.
3463,椎间盘,zhuī jiān pán,intervertebral disc,5,2,椎骨,vertebra,之间,between,盘,plate,,,医生说他的椎间盘有磨损,yī shēng shuō tā de zhuī jiān pán yǒu mó sǔn,The doctor said his intervertebral disc is worn
3464,椎间盘突出,zhuī jiān pán tū chū,disc herniation,5,2,椎间盘,intervertebral disc,突出,to protrude,,,,,他因为椎间盘突出要做理疗,tā yīn wèi zhuī jiān pán tū chū yào zuò lǐ liáo,He needs physical therapy because of a disc herniation
3465,准确率,zhǔn què lǜ,accuracy,5,4,准确,accurate,率,rate,,,,,这个模型的准确率超过了百分之九十,zhè gè mó xíng de zhǔn què lǜ chāo guò le bǎi fēn zhī jiǔ shí,the accuracy of this model is over ninety percent
3466,自查,zì chá,self-examination;self-check,5,4,自己,self,检查,check,,,,,公司要求自查问题。,gōng sī yāo qiú zì chá wèn tí,The company requires self-checks.
3467,自动售卖机,zì dòng shòu mài jī,vending machine,5,3,自动,automatic,售卖,sell,机器,machine,,,学校里有自动售卖机。,xué xiào lǐ yǒu zì dòng shòu mài jī.,There is a vending machine at school.
